author,title,date,style,genre,media,dimensions,tag,location,link,image
Vladimir Tatlin,Artist's model,c.1910,Expressionism,nude painting (nu),N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/vladimir-tatlin/artist-s-model.jpg,artist-s-model.jpg
Vladimir Tatlin,The Fishmonger,1911,Cubism,genre painting,N/A,99 x 77 cm,N/A,"Tretyakov Gallery, Moscow, Russia",https://uploads5.wikiart.org/images/vladimir-tatlin/the-fishmonger-1911.jpg,the-fishmonger-1911.jpg
Vladimir Tatlin,Portrait of the artist,1912,Cubism,portrait,N/A,N/A,N/A,N/A,https://uploads8.wikiart.org/images/vladimir-tatlin/portrait-of-the-artist.jpg,portrait-of-the-artist.jpg
Vladimir Tatlin,The Sailor (Self Portrait),1911 - 1912,Cubism,self-portrait,"tempera, canvas",71.5 x 71.5 cm,N/A,"Russian Museum, Saint Petersburg, Russia",https://uploads6.wikiart.org/images/vladimir-tatlin/the-sailor-self-portrait-1912.jpg,the-sailor-self-portrait-1912.jpg
Vladimir Tatlin,Forest,1913,N/A,N/A,N/A,N/A,N/A,N/A,Not Found,forest-1913.jpg
Vladimir Tatlin,Model,1913,Cubism,nude painting (nu),oil,N/A,N/A,"Tretyakov Gallery, Moscow, Russia",https://uploads5.wikiart.org/images/vladimir-tatlin/model-1913.jpg,model-1913.jpg
Vladimir Tatlin,Relief,1913,Cubism,abstract,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/vladimir-tatlin/relief.jpg,relief.jpg
Vladimir Tatlin,"Sketch for stage set,  Glinka's Ivan Susanin",1912 - 1914,Constructivism,design,N/A,N/A,N/A,N/A,https://uploads6.wikiart.org/images/vladimir-tatlin/sketch-for-stage-set-glinka-s-ivan-susanin-1914.jpg,sketch-for-stage-set-glinka-s-ivan-susanin-1914.jpg
Vladimir Tatlin,Tatlin Relief 2,1914,Constructivism,sculpture,N/A,N/A,N/A,N/A,https://uploads6.wikiart.org/images/vladimir-tatlin/tatlin-relief-2-1914.jpg,tatlin-relief-2-1914.jpg
Vladimir Tatlin,Board Number 1 (Staro-Basmannaya Street),1916,Abstract Art,abstract,oil,57 x 100 cm,N/A,"Tretyakov Gallery, Moscow, Russia",https://uploads2.wikiart.org/images/vladimir-tatlin/board-number-1-staro-basmannaya-street-1916.jpg,board-number-1-staro-basmannaya-street-1916.jpg
Vladimir Tatlin,Composition (the month of May),1916,Abstract Art,abstract,N/A,N/A,N/A,N/A,https://uploads5.wikiart.org/images/vladimir-tatlin/composition-the-month-of-may.jpg,composition-the-month-of-may.jpg
Vladimir Tatlin,Tabla Number 1,1917,Abstract Art,abstract,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/vladimir-tatlin/tabla-number-1.jpg,tabla-number-1.jpg
Vladimir Tatlin,Model of the monument III International,1919 - 1920,Constructivism,sculpture,N/A,N/A,N/A,N/A,https://uploads3.wikiart.org/images/vladimir-tatlin/model-of-the-monument-iii-international-1920.jpg,model-of-the-monument-iii-international-1920.jpg
Vladimir Tatlin,Monument to commemorate the Third International,1919 - 1920,Constructivism,sculpture,lithography,N/A,N/A,N/A,https://uploads2.wikiart.org/images/vladimir-tatlin/monument-to-commemorate-the-third-international-1920.jpg,monument-to-commemorate-the-third-international-1920.jpg
Vladimir Tatlin,Monument to the Third International,1919 - 1920,Constructivism,design,lithography,N/A,N/A,Private Collection,https://uploads8.wikiart.org/images/vladimir-tatlin/monument-to-the-third-international-1920.jpg,monument-to-the-third-international-1920.jpg
Vladimir Tatlin,Female bather,c.1930,Post-Impressionism,nude painting (nu),"oil, wood",N/A,N/A,N/A,https://uploads8.wikiart.org/images/vladimir-tatlin/female-bather.jpg,female-bather.jpg
Vladimir Tatlin,Letatlin,1930 - 1932,Constructivism,sculpture,N/A,N/A,N/A,N/A,https://uploads8.wikiart.org/images/vladimir-tatlin/letatlin-1932.jpg,letatlin-1932.jpg
Vladimir Tatlin,Woman's Portrait,1933,Post-Impressionism,portrait,"oil, wood",N/A,N/A,N/A,https://uploads2.wikiart.org/images/vladimir-tatlin/woman-s-portrait.jpg,woman-s-portrait.jpg
Vladimir Tatlin,Leningrad,1936,Realism,cityscape,"oil, wood",41 x 33 cm,N/A,N/A,Not Found,leningrad-1936.jpg
Vladimir Tatlin,Flowers,1940,Post-Impressionism,flower painting,N/A,N/A,N/A,N/A,https://uploads2.wikiart.org/images/vladimir-tatlin/flowers.jpg,flowers.jpg
Vladimir Tatlin,Meat,1947,Post-Impressionism,still life,N/A,N/A,N/A,N/A,https://uploads8.wikiart.org/images/vladimir-tatlin/meat.jpg,meat.jpg
Vladimir Tatlin,A Skull on the Open Book,1950,Expressionism,vanitas,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/vladimir-tatlin/a-skull-on-the-open-book.jpg,a-skull-on-the-open-book.jpg
Vladimir Tatlin,Flower-Piece,N/A,Post-Impressionism,flower painting,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/vladimir-tatlin/flower-piece.jpg,flower-piece.jpg
Vladimir Tatlin,"Sketch for stage set,  Glinka's King Life",N/A,Cubism,design,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/vladimir-tatlin/sketch-for-stage-set-glinka-s-king-life.jpg,sketch-for-stage-set-glinka-s-king-life.jpg
Vladimir Tatlin,Counter relief,N/A,Constructivism,sculpture,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/vladimir-tatlin/counter-relief.jpg,counter-relief.jpg
Jean Arp,Before my Birth,1914,Dada,abstract,collage,N/A,N/A,Private Collection,https://uploads8.wikiart.org/images/jean-arp/before-my-birth-1914.jpg,before-my-birth-1914.jpg
